scientific_name,license,author,image_url,wikimedia_page
Achillea clavennae,PD,Anton Hartinger,https://upload.wikimedia.org/wikipedia/commons/7/74/Achillea_clavenae_Atlas_Alpenflora.jpg,https://commons.wikimedia.org/wiki/File%3AAchillea%20clavenae%20Atlas%20Alpenflora.jpg
Achillea filipendulina,CC0,Randal,https://upload.wikimedia.org/wikipedia/commons/2/21/Achillea_filipendulina_flower_%2818%29.jpeg,https://commons.wikimedia.org/wiki/File%3AAchillea%20filipendulina%20flower%20%2818%29.jpeg
Achillea millefolium,PD,Kilom691,https://upload.wikimedia.org/wikipedia/commons/d/d1/Illustration_Achillea_millefolium0_clean.jpg,https://commons.wikimedia.org/wiki/File%3AIllustration%20Achillea%20millefolium0%20clean.jpg
Achillea ptarmica,CC0,Cultureel_Gelderlandaction=editredlink=1,https://upload.wikimedia.org/wikipedia/commons/6/64/Rups_van_de_windepijlstaart_%28Agrius_convolvuli%29_in_een_rietruigte_%28Convolvulo-Filipenduletea%29.jpg,https://commons.wikimedia.org/wiki/File%3ARups%20van%20de%20windepijlstaart%20%28Agrius%20convolvuli%29%20in%20een%20rietruigte%20%28Convolvulo-Filipenduletea%29.jpg
Achillea sibirica,PD,Denali National Park and Preserve,https://upload.wikimedia.org/wikipedia/commons/7/7b/Achillea_alpina_%287833438438%29.jpg,https://commons.wikimedia.org/wiki/File%3AAchillea%20alpina%20%287833438438%29.jpg
Achimenes spp.,,,,
Acmella oleracea,,,,
Aconitum carmichaelii,CC0,Pancrat,https://upload.wikimedia.org/wikipedia/commons/f/f0/Compatibilit%C3%A9_de_Fuzi_%28Aconitum_carmichaelii%29.jpg,https://commons.wikimedia.org/wiki/File%3ACompatibilit%C3%A9%20de%20Fuzi%20%28Aconitum%20carmichaelii%29.jpg
Aconitum lycoctonum,PD,Paul Knuth (1854-1899)  Hermann Müller (1829-1883),https://upload.wikimedia.org/wikipedia/commons/1/1c/Aconitum_lycoctonum_%28illustration_by_Knuth_1898%29.jpg,https://commons.wikimedia.org/wiki/File%3AAconitum%20lycoctonum%20%28illustration%20by%20Knuth%201898%29.jpg
Aconitum napellus,PD,Walther Otto Müller,https://upload.wikimedia.org/wikipedia/commons/f/fc/Illustration_Aconitum_napellus0.jpg,https://commons.wikimedia.org/wiki/File%3AIllustration%20Aconitum%20napellus0.jpg
